Period,Inventory Units,# Occupied Units,Residential Occupancy,Effective Rent/Unit,Residential Foot Traffic,Residential Recovery %,Resident Average stay (duration in minutes),Office Occupancy Rate,# Occupied Sqft,Average Office Rent/Sqft,Worker foot traffic,Worker Recovery %,Worker Average stay (duration in minutes),Visitor Foot Traffic,Visitor Recovery %,Visitor Average stay (duration in minutes),Hotel Revenue (trailing 3 months),Hotel Occupancy Rate (trailing 3 months),Transit ridership,# new business licenses issued,License activation fee - Food Service,Dining recovery - US,Dining recovery - Washington,Dining recovery - Seattle,Retail Occupancy,Minority-owned businesses,Women-owned businesses,Weekend foot traffic,Weeknight foot traffic,License activation fee - Arts & Entertainment,Foot traffic in downtown parks,Parks Average stay (length),Parks Median stay (length),Tree Canopy cover
01/01/2019 12:00:00 AM,28984,25968,89.6,2114,2296942,100,1512,94.1,89322191,37.88,9663016,100,515,15379236,100,376,179320298,70.5,,604,,,,,96.9,,,6112351,11424375,,1490483,136,70,28.6
04/01/2019 12:00:00 AM,29392,27087,92.2,2187,2258163,100,1591,94.2,89845000,37.38,10195939,100,503,18972583,100,360,263979665,81.9,,387,,,,,97.3,,,7254849,13362172,,2410045,118,66,
07/01/2019 12:00:00 AM,29428,27711,94.2,2213,2219671,100,1434,95.3,91275708,38.63,10012114,100,506,20439048,100,368,331683606,88.3,,544,,,,,97.3,,,7626114,13945633,,2935696,108,64,
10/01/2019 12:00:00 AM,29671,27980,94.4,2196,2376497,100,1477,94.9,91535060,39.3,9550311,100,494,17510520,100,373,206103070,74.2,13232700,458,7002960,,,,97.5,,,6970103,12116442,2547087,1677641,122,70,
01/01/2020 12:00:00 AM,29740,28042,94.3,2234,2349805,102,1791,94.6,93298000,40.7,7460517,77,550,12053529,78,388,132197773,51.9,,514,,59,53,50,97.6,,,4691843,9003955,,1052066,146,75,
04/01/2020 12:00:00 AM,29831,27464,92.1,2160,2699988,120,1506,94.5,93732729,40.55,2216410,22,663,3321366,18,350,16476848,16,,200,,13,7,3,97.5,,,1879390,3504870,,265522,233,66,
07/01/2020 12:00:00 AM,30119,26870,89.3,2002,2652997,120,1252,93.5,93040262,39.71,2716733,27,563,5947042,29,325,31959809,21.3,,253,,48,36,17,96,,,2681564,4636310,,700975,136,63,
10/01/2020 12:00:00 AM,30119,27129,90.1,1974,2562463,108,1407,92.5,92726241,38.66,2451323,26,589,5887515,34,368,29561083,19.1,4083500,196,3931852,48,30,14,95.9,,,2697164,4468753,700907,424356,171,58,
01/01/2021 12:00:00 AM,30259,27826,92,2007,2547427,111,1342,90,91441722,38.03,2189171,23,567,6326002,41,353,33286665,23,,374,,55,35,16,95.3,,,2945810,4553375,,551228,154,67,
04/01/2021 12:00:00 AM,30580,28573,93.5,2237,2501998,111,1260,89.7,91724962,37.92,2473352,24,530,10490382,55,362,87823775,43,,266,,84,66,35,93.2,,,4448261,6481835,,1290574,117,67,
07/01/2021 12:00:00 AM,30652,28757,93.9,2273,2289984,103,1143,89.4,91741847,36.53,2901714,29,518,14395425,70,378,177238418,61.3,,375,,92,78,51,93.5,,,5788346,8345611,,2091270,114,67,
10/01/2021 12:00:00 AM,30652,28632,93.5,2224,2220139,93,1233,89.2,91483113,36.55,3265629,34,522,11726327,67,361,122010634,49.3,4760200,281,3383433,91,76,53,91.3,,,5153294,7015263,1708322,1101215,117,65,28.1
01/01/2022 12:00:00 AM,31109,28804,92.6,2221,2297712,100,1202,88.1,90783661,37.17,3413479,35,549,10124368,66,327,95283849,42.5,,372,,89,83,51,91.8,,,4720034,6313182,,1013035,114,64,
04/01/2022 12:00:00 AM,31109,28957,93.1,2318,2293900,102,1087,87.4,90338647,36.62,4108551,40,515,14275734,75,334,237707681,73.5,,312,,98,87,60,90.3,,,6255053,8696469,,1676882,108,65,
07/01/2022 12:00:00 AM,32968,29291,88.9,2251,2306088,104,1059,87.3,90169631,36.43,4614833,46,515,16422325,80,325,332919886,81.5,,318,,100,92,64,90.2,,,6704366,10280993,,1968339,106,66,
10/01/2022 12:00:00 AM,32968,29266,88.8,2150,2154991,91,1135,87,89877223,36.66,4474011,47,543,12060563,69,329,191692153,60.7,9636400,236,4671624.1,98,87,64,90.3,1086,1562,5587976,7597329,2572716,1016187,119,67,
01/01/2023 12:00:00 AM,33218,29455,88.7,2171,2527541,110,1107,85.7,88709694,37.73,4870389,50,529,10820356,70,308,149914065,53.6,,308,,102,99,76,90.2,1085,1550,5065297,7553492,,1087454,114,65,
04/01/2023 12:00:00 AM,33211,30011,90.4,2302,2693748,119,1160,84.6,88211809,37.43,5612405,55,512,14860767,78,321,264218448,72.9,,306,,,,,90.4,1031,1672,6797795,9633927,,1912643,104,62,
07/01/2023 12:00:00 AM,33211,30348,91.4,2251,2662851,120,931,83.8,87423043,36.46,5722120,57,490,16805216,82,322,365407323,83.1,,271,,,,,90.2,1098,1599,7598364,10464661,,2347884,102,62,
10/01/2023 12:00:00 AM,32987,30215,91.6,2258,2624127,110,898,83.5,87749568,36.28,5258497,55,464,12435988,71,283,206858960,63.3,10855181,236,,,,,90.3,1101,1612,5875413,8133012,,1491022,99,67,
04/01/2024 12:00:00 AM,32595,29749,91.3,2269,2749965,120,898,81.3,86316510,36.33,5371674,56,475,11292226,73,253,169132808,60,,,,,,,90.5,1103,1613,5280118,7789116,,1148141,104,63,
